epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12973.2,0.63738,0.49175,0.87024,0.91726,0.87318,0.96652,0.80955,0.7112,0.46251,0.89894,0.000990365,0.000990365,0.000990365
43,13189.4,0.60303,0.45975,0.86138,0.95554,0.87546,0.95262,0.81914,0.71613,0.46086,0.90407,0.000973861,0.000973861,0.000973861
44,13346.9,0.6218,0.46899,0.85922,0.89527,0.89232,0.95807,0.80879,0.69514,0.4737,0.90397,0.000957358,0.000957358,0.000957358
45,13537.3,0.60886,0.47724,0.85571,0.91485,0.9083,0.96963,0.80353,0.69622,0.51499,0.90738,0.000940855,0.000940855,0.000940855
46,13745.4,0.60466,0.43684,0.85802,0.85309,0.88004,0.94696,0.80484,0.71524,0.64382,0.89851,0.000924352,0.000924352,0.000924352
47,13955.1,0.60151,0.46985,0.8654,0.88729,0.88275,0.96584,0.80392,0.71677,0.49607,0.90281,0.000907848,0.000907848,0.000907848
48,14164.9,0.60882,0.45251,0.85638,0.86845,0.95696,0.95865,0.80491,0.69999,0.4289,0.89592,0.000891345,0.000891345,0.000891345
49,14373.4,0.59959,0.45091,0.86085,0.79637,0.84158,0.89463,0.76505,0.65438,0.59091,0.88721,0.000874842,0.000874842,0.000874842
50,14581.4,0.60951,0.46441,0.86733,0.77191,0.91927,0.91963,0.77102,0.68532,0.50419,0.89455,0.000858338,0.000858338,0.000858338
51,14814.1,0.62012,0.47773,0.86938,0.82908,0.88874,0.94697,0.79964,0.69251,0.48148,0.88965,0.000841835,0.000841835,0.000841835
52,14970.3,0.59314,0.44002,0.85027,0.85723,0.90743,0.95474,0.80173,0.68369,0.4598,0.89483,0.000825332,0.000825332,0.000825332
53,15123,0.60956,0.44859,0.86139,0.86381,0.92917,0.96592,0.81992,0.6655,0.43366,0.89081,0.000808828,0.000808828,0.000808828
54,15276.6,0.58568,0.43658,0.85938,0.91691,0.9552,0.9745,0.82306,0.65005,0.4117,0.89068,0.000792325,0.000792325,0.000792325
55,15430.3,0.59886,0.42949,0.86825,0.89119,0.87473,0.96312,0.82816,0.6764,0.54246,0.88751,0.000775822,0.000775822,0.000775822
